,observed_type,count,mean,std,min,q1,median,q3,max,mode,missing,unique,zero_fraction,iqr,skew,max_abs_z,iqr_outliers,corr_Label,mean_label_0,median_label_0,mean_label_1,median_label_1
BalabanJ,float,597,2.14311,0.724245,0.837,1.677,1.959,2.396,5.083,1.838,0,487,0,0.719,1.55036,4.05925,39,-0.0289968,2.15516,1.905,2.10656,2.0255
BertzCT,float,597,752.165,404.239,2,495.767,715.966,950.888,2629.39,8,0,575,0,455.121,0.956255,4.64386,21,0.010252,749.788,728.312,759.377,697.577
Chi0,float,597,18.4426,7.35221,2,13.69,17.897,22.242,50.12,10.836,0,449,0,8.552,0.853556,4.30856,22,0.0193505,18.361,17.883,18.6902,17.9675
Chi0n,float,597,14.631,6.15393,0.908,10.582,14.507,17.895,41.328,2.439,0,570,0,7.313,0.837206,4.3382,19,0.0066391,14.6076,14.591,14.7021,14.401
Chi0v,float,597,15.1323,6.20431,0.908,11.128,14.86,18.374,41.328,13.404,0,571,0,7.246,0.783759,4.22218,19,-0.00468055,15.1489,14.941,15.0818,14.7645
Chi1,float,597,12.071,4.89513,1,9.011,11.912,14.597,32.35,12.963,0,515,0,5.586,0.711373,4.14268,22,0.0123304,12.0364,11.952,12.176,11.862
Chi1n,float,597,8.57337,3.77885,0.204,5.98,8.526,10.643,23.269,1.224,0,570,0,4.663,0.674742,3.88891,17,-0.00146643,8.57655,8.561,8.56372,8.25
Chi1v,float,597,9.07657,3.83833,0.204,6.535,9.073,11.123,24.44,12.377,0,577,0,4.588,0.632194,4.00264,17,-0.0147501,9.10905,9.142,8.97804,8.8465
Chi2n,float,597,6.80018,3.32209,0,4.513,6.546,8.674,19.352,5.461,0,565,0.00167504,4.161,0.788969,3.77829,17,-0.0163316,6.83131,6.586,6.70576,6.231
Chi2v,float,597,7.35131,3.37543,0,5.044,7.197,9.316,19.615,2.968,0,576,0.00167504,4.272,0.661505,3.63323,16,-0.0269441,7.40348,7.24,7.19303,6.974
Chi3n,float,597,4.94443,2.79989,0,3.018,4.588,6.443,15.952,0,0,563,0.00670017,3.425,0.842836,3.93143,16,-0.0469359,5.01982,4.662,4.71573,4.399
Chi3v,float,597,5.39591,2.84882,0,3.313,5.116,7.01,15.952,0,0,567,0.00670017,3.697,0.690012,3.70543,15,-0.0534249,5.48322,5.216,5.13104,4.893
Chi4n,float,597,3.62107,2.3359,0,1.914,3.241,4.824,13.236,0,0,557,0.0150754,2.91,0.956628,4.11615,16,-0.0647309,3.70781,3.26,3.35793,3.106
Chi4v,float,597,3.99357,2.39521,0,2.237,3.64,5.351,13.236,0,0,554,0.0150754,3.114,0.780999,3.85872,9,-0.0683511,4.08749,3.653,3.70866,3.4745
EState_VSA1,float,597,18.7593,23.9771,0,0,11.508,26.696,155.672,0,0,251,0.284757,26.696,2.05634,5.71014,37,0.087872,17.5506,10.8,22.426,11.74
